questions,labels
does a microbiological test have been performed for patient 025-44495 since 10/2105?,"select count(*)>0 from microlab where microlab.patientunitstayid in ( select patient.patientunitstayid from patient where patient.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.uniquepid = '025-44495' ) ) and strftime('%y-%m',microlab.culturetakentime) >= '2105-10'"
count the number of times in which patient 017-61209 had had a tube feeding flush (ml) intake on 06/10/last year.,"select count(*) from intakeoutput where intakeoutput.patientunitstayid in ( select patient.patientunitstayid from patient where patient.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.uniquepid = '017-61209' ) ) and intakeoutput.cellpath like '%intake%' and intakeoutput.celllabel = 'tube feeding flush (ml)' and datetime(intakeoutput.intakeoutputtime,'start of year') = datetime(current_time,'start of year','-1 year') and strftime('%m-%d',intakeoutput.intakeoutputtime) = '06-10'"
what are the top four prescription drugs for the patients with age 20s this year?,"select t1.drugname from ( select medication.drugname, dense_rank() over ( order by count(*) desc ) as c1 from medication where medication.patientunitstayid in ( select patient.patientunitstayid from patient where patient.age between 20 and 29 ) and datetime(medication.drugstarttime,'start of year') = datetime(current_time,'start of year','-0 year') group by medication.drugname ) as t1 where t1.c1 <= 4"
count the number of patients who were admitted until 2102 to the hospital.,"select count( distinct patient.uniquepid ) from patient where strftime('%y',patient.hospitaladmittime) <= '2102'"
what were the five most frequently performed procedures for patients who received neurosurgery - drainage of hematoma-craniotomy previously in the same hospital visit until 3 years ago?,"select t3.treatmentname from ( select t2.treatmentname, dense_rank() over ( order by count(*) desc ) as c1 from ( select patient.uniquepid, treatment.treatmenttime, patient.patienthealthsystemstayid from treatment join patient on treatment.patientunitstayid = patient.patientunitstayid where treatment.treatmentname = 'neurosurgery - drainage of hematoma-craniotomy' and datetime(treatment.treatmenttime) <= datetime(current_time,'-3 year') ) as t1 join ( select patient.uniquepid, treatment.treatmentname, treatment.treatmenttime, patient.patienthealthsystemstayid from treatment join patient on treatment.patientunitstayid = patient.patientunitstayid where datetime(treatment.treatmenttime) <= datetime(current_time,'-3 year') ) as t2 on t1.uniquepid = t2.uniquepid where t1.treatmenttime < t2.treatmenttime and t1.patienthealthsystemstayid = t2.patienthealthsystemstayid group by t2.treatmentname ) as t3 where t3.c1 <= 5"
tell me the number of times patient 006-129568 had received a mode lab test since 5 years ago.,"select count(*) from lab where lab.patientunitstayid in ( select patient.patientunitstayid from patient where patient.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.uniquepid = '006-129568' ) ) and lab.labname = 'mode' and datetime(lab.labresulttime) >= datetime(current_time,'-5 year')"
when until 2104 patient 013-33898 received a procedure for the last time?,"select treatment.treatmenttime from treatment where treatment.patientunitstayid in ( select patient.patientunitstayid from patient where patient.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.uniquepid = '013-33898' ) ) and strftime('%y',treatment.treatmenttime) <= '2104' order by treatment.treatmenttime desc limit 1"
what are the drugs that patient 015-91239 is allergic to in their current hospital encounter?,select allergy.drugname from allergy where allergy.patientunitstayid in ( select patient.patientunitstayid from patient where patient.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.uniquepid = '015-91239' and patient.hospitaldischargetime is null ) )
"is there any results of the urine, voided specimen microbiology test of patient 025-19271?","select count(*) from microlab where microlab.patientunitstayid in ( select patient.patientunitstayid from patient where patient.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.uniquepid = '025-19271' ) ) and microlab.culturesite = 'urine, voided specimen'"
what is the average hospital cost involving a drug that is called cefazolin 2 gm in ns 100 ml ivpb until 2103?,"select avg(t1.c1) from ( select sum(cost.cost) as c1 from cost where cost.patienthealthsystemstayid in ( select patient.patienthealthsystemstayid from patient where patient.patientunitstayid in ( select medication.patientunitstayid from medication where medication.drugname = 'cefazolin 2 gm in ns 100 ml ivpb' ) ) and strftime('%y',cost.chargetime) <= '2103' group by cost.patienthealthsystemstayid ) as t1"
